
="",="(1)",="(2)",="(3)"
="",="lnwage",="lnwage",="lnwage"

="educ",="0.0870***",="0.0848***",="0.0633***"
="",="(0.00516)",="(0.00519)",="(0.00504)"

="exper",="0.0113***",="0.0111***",="-0.000250"
="",="(0.00154)",="(0.00154)",="(0.00180)"

="tenure",="0.00837***",="0.00771***",="0.00630***"
="",="(0.00188)",="(0.00188)",="(0.00189)"

="female",="",="-0.0841***",="-0.151***"
="",="",="(0.0251)",="(0.0241)"

="age",="",="",="0.112***"
="",="",="",="(0.00764)"

="agesq",="",="",="-0.00124***"
="",="",="",="(0.0000941)"

="_cons",="2.140***",="2.213***",="0.333*"
="",="(0.0650)",="(0.0683)",="(0.143)"

="N",="1434",="1434",="1434"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
